Hotel name,Address,Price,Rating,Room Capacity,AC,Restaurant availabilty,Check in,Check out,Contact Number
Hotel Golden Palms,Jogeshwari West,1717,4.3,2,Yes,Yes,12 PM,11 AM,082915 30923
Hotel Golden Palms,Jogeshwari West,2059,4.3,3,Yes,No,12 PM,11 AM,082915 30923
Hotel Ocean Suites,Andheri East,2159,4.1,1,Yes,Yes,12 PM,11 AM,093724 18968
Hotel Ocean Suites,Andheri Easr,2429,4.1,2,Yes,Yes,12 PM,11 AM,093724 18968
Hotel Ocean Suites,Andheri East,2746,4.1,3,Yes,Yes,12 PM,11 AM,093724 18968
Hotel Bentley,Churchgate,3735,4.4,1,Yes,No,12:30 PM,11 AM,022 2281 5254
Hotel Bentley,Churchgate,3735,4.4,2,Yes,No,12:30 PM,11 AM,022 2281 5254
Hotel Bentley,Churchgate,4166,4.4,3,Yes,No,12:30 PM,11 AM,022 2281 5254
Vishal Hall,Andheri East,926,4.1,1,Yes,No,12 PM,6 PM,091520 22101
Vishal Hall,Andheri East,1058,4.1,2,Yes,No,12 PM,6 PM,091520 22101
Vishal Hall,Andheri East,1464,4.1,3,Yes,No,12 PM,6 PM,091520 22101
Grand Hyatt Mumbai,Near Mumbai Airport,14000,4.5,1,Yes,Yes,15 PM,12 PM,022 6676 1234
Grand Hyatt Mumbai,Near Mumbai Airport,14000,4.5,2,Yes,Yes,15 PM,12 PM,022 6676 1234
Courtyard By Marriott,Near Mumbai Airport,11776,4.1,1,Yes,Yes,15 PM,12 PM, 022 6136 9999
Courtyard By Marriott,Near Mumbai Airport,11776,4.1,2,Yes,Yes,15 PM,12 PM, 022 6136 9999
Courtyard By Marriott,Near Mumbai Airport,11776,4.1,3,Yes,Yes,15 PM,12 PM, 022 6136 9999
The Lalit Mumbai,Near Mumbai Airport,10340,4.1,1,Yes,Yes,14 PM,12 PM,022 6699 2222
The Lalit Mumbai,Near Mumbai Airport,10528,4.1,2,Yes,Yes,14 PM,12 PM,022 6699 2222
The Lalit Mumbai,Near Mumbai Airport,11279,4.1,3,Yes,Yes,14 PM,12 PM,022 6699 2222
Taj Santacruz,Near Mumbai Airport,15300,4.5,1,Yes,Yes,15 PM,11 AM,022 6211 5211
Taj Santacruz,Near Mumbai Airport,16200,4.5,2,Yes,Yes,15 PM,11 AM,022 6211 5211
Taj Santacruz,Near Mumbai Airport,17550,4.5,3,Yes,Yes,15 PM,11 AM,022 6211 5211
